Channel			  :,CH1
Frequency			  :,F=3.021MHz
Period 			  :,T=320.0ns
PK-PK				  :,Vpp=2.020V
Average			  :,V=50.47mV
Vertical pos		  :,0.00mV
Probe attenuation	  :,1X
Voltage per ADC value:,20.00mV
Time interval		  :,0.02uS

index,CH1_Voltage(mV)
1445,-80.00
1446,200.00
1447,440.00
1448,660.00
1449,740.00
1450,720.00
1451,600.00
1452,360.00
1453,80.00
1454,-180.00
1455,-360.00
1456,-480.00
1457,-440.00
1458,-340.00
1459,-100.00
1460,180.00
1461,440.00
1462,660.00
1463,760.00
1464,740.00
1465,620.00
1466,380.00
1467,120.00
1468,-140.00
1469,-340.00
1470,-460.00
1471,-460.00
1472,-340.00
1473,-120.00
1474,140.00
1475,400.00
1476,620.00
1477,740.00
1478,740.00
1479,620.00
1480,400.00
1481,140.00
1482,-120.00
1483,-340.00
1484,-460.00
1485,-460.00
1486,-340.00
1487,-140.00
1488,120.00
1489,380.00
1490,620.00
1491,740.00
1492,740.00
1493,660.00
1494,440.00
1495,180.00
1496,-100.00
1497,-340.00
1498,-460.00
1499,-480.00
1500,-360.00
1501,-180.00
1502,80.00
1503,360.00
1504,600.00
1505,720.00
1506,760.00
1507,660.00
1508,460.00
1509,200.00
1510,-60.00
1511,-300.00
1512,-440.00
1513,-480.00
1514,-380.00
1515,-200.00
1516,60.00
1517,340.00
1518,580.00
1519,720.00
1520,740.00
1521,660.00
1522,480.00
1523,220.00
1524,-40.00
1525,-280.00
1526,-440.00
1527,-480.00
1528,-400.00
1529,-220.00
1530,20.00
1531,320.00
1532,560.00
1533,720.00
1534,760.00
1535,700.00
1536,520.00
1537,260.00
1538,-20.00
1539,-280.00
1540,-440.00
1541,-480.00
1542,-420.00
1543,-240.00
1544,0.00
1545,300.00
1546,540.00
1547,700.00
1548,740.00
1549,680.00
1550,520.00
1551,280.00
1552,0.00
1553,-240.00
1554,-400.00
1555,-480.00
1556,-420.00
1557,-260.00
1558,0.00
1559,280.00
1560,520.00
1561,700.00
1562,760.00
1563,700.00
1564,540.00
1565,300.00
1566,20.00
1567,-220.00
1568,-400.00
1569,-480.00
1570,-420.00
1571,-280.00
1572,-20.00
1573,240.00
1574,480.00
1575,660.00
1576,760.00
1577,720.00
1578,580.00
1579,340.00
1580,100.00
1581,-120.00
1582,-320.00
1583,-420.00
1584,-460.00
1585,-420.00
1586,-320.00
1587,-140.00
1588,80.00
1589,300.00
1590,500.00
1591,640.00
1592,660.00
1593,600.00
1594,400.00
1595,140.00
1596,-120.00
1597,-380.00
1598,-560.00
1599,-640.00
1600,-580.00
1601,-400.00
1602,-160.00
1603,140.00
1604,400.00
1605,620.00
1606,680.00
1607,640.00
1608,460.00
1609,200.00
1610,-100.00
1611,-360.00
1612,-560.00
1613,-640.00
1614,-600.00
1615,-420.00
1616,-180.00
1617,120.00
1618,380.00
1619,600.00
1620,660.00
1621,640.00
1622,460.00
1623,200.00
1624,-80.00
1625,-340.00
1626,-540.00
1627,-640.00
1628,-600.00
1629,-440.00
1630,-200.00
1631,100.00
1632,360.00
1633,580.00
1634,660.00
1635,660.00
1636,480.00
1637,240.00
1638,-40.00
1639,-340.00
1640,-540.00
1641,-640.00
1642,-620.00
1643,-460.00
1644,-220.00
1645,60.00
1646,340.00
1647,560.00
1648,660.00
1649,660.00
1650,500.00
1651,280.00
1652,0.00
1653,-300.00
1654,-520.00
1655,-640.00
1656,-620.00
1657,-480.00
1658,-260.00
1659,40.00
1660,320.00
1661,560.00
1662,660.00
1663,660.00
1664,520.00
1665,300.00
1666,0.00
1667,-300.00
1668,-520.00
1669,-640.00
1670,-640.00
1671,-500.00
1672,-280.00
1673,20.00
1674,320.00
1675,540.00
1676,660.00
1677,660.00
1678,560.00
1679,320.00
1680,20.00
1681,-260.00
1682,-480.00
1683,-620.00
1684,-640.00
1685,-520.00
1686,-320.00
1687,-20.00
1688,280.00
1689,500.00
1690,660.00
1691,660.00
1692,560.00
1693,340.00
1694,60.00
1695,-220.00
1696,-460.00
1697,-620.00
1698,-640.00
1699,-540.00
1700,-340.00
1701,-40.00
1702,240.00
1703,480.00
1704,640.00
1705,660.00
1706,580.00
1707,360.00
1708,80.00
1709,-200.00
1710,-440.00
1711,-620.00
1712,-660.00
1713,-560.00
1714,-340.00
1715,-80.00
1716,220.00
1717,460.00
1718,640.00
1719,660.00
1720,600.00
1721,380.00
1722,120.00
1723,-160.00
1724,-400.00
1725,-580.00
1726,-640.00
1727,-560.00
1728,-360.00
1729,-100.00
1730,180.00
1731,440.00
1732,620.00
1733,660.00
1734,600.00
1735,400.00
1736,140.00
1737,-160.00
1738,-400.00
1739,-580.00
1740,-640.00
1741,-580.00
1742,-400.00
1743,-140.00
1744,160.00
1745,420.00
1746,620.00
1747,680.00
1748,640.00
1749,440.00
1750,180.00
1751,-120.00
1752,-360.00
1753,-560.00
1754,-660.00
1755,-600.00
1756,-420.00
1757,-180.00
1758,120.00
1759,400.00
1760,600.00
1761,660.00
1762,640.00
1763,460.00
1764,200.00
1765,-80.00
1766,-340.00
1767,-560.00
1768,-640.00
1769,-600.00
1770,-440.00
1771,-200.00
1772,100.00
1773,360.00
1774,580.00
1775,660.00
1776,640.00
1777,480.00
1778,220.00
1779,-60.00
1780,-340.00
1781,-540.00
1782,-660.00
1783,-620.00
1784,-460.00
1785,-220.00
1786,60.00
1787,320.00
1788,560.00
1789,660.00
1790,660.00
1791,520.00
1792,280.00
1793,-20.00
1794,-320.00
1795,-520.00
1796,-640.00
1797,-620.00
1798,-480.00
1799,-260.00
1800,540.00
1801,660.00
1802,660.00
1803,520.00
1804,280.00
1805,0.00
1806,-300.00
1807,-520.00
1808,-660.00
1809,-640.00
1810,-500.00
1811,-280.00
1812,20.00
1813,320.00
1814,540.00
1815,660.00
1816,660.00
1817,540.00
1818,320.00
1819,20.00
1820,-260.00
1821,-500.00
1822,-640.00
1823,-640.00
1824,-520.00
1825,-300.00
1826,-20.00
1827,280.00
1828,500.00
1829,660.00
1830,660.00
1831,540.00
1832,320.00
1833,40.00
1834,-240.00
1835,-460.00
1836,-620.00
1837,-640.00
1838,-540.00
1839,-340.00
1840,-40.00
1841,260.00
1842,500.00
1843,660.00
1844,660.00
1845,580.00
1846,340.00
1847,60.00
1848,-220.00
1849,-460.00
1850,-620.00
1851,-660.00
1852,-560.00
1853,-340.00
1854,-60.00
1855,220.00
1856,460.00
1857,640.00
1858,660.00
1859,580.00
1860,380.00
1861,100.00
1862,-180.00
1863,-420.00
1864,-600.00
1865,-640.00
1866,-560.00
1867,-360.00
1868,-100.00
1869,200.00
1870,440.00
1871,620.00
1872,660.00
1873,600.00
1874,380.00
1875,120.00
1876,-160.00
1877,-400.00
1878,-580.00
1879,-660.00
1880,-580.00
1881,-400.00
1882,-140.00
1883,160.00
1884,440.00
1885,620.00
1886,680.00
1887,620.00
1888,420.00
1889,160.00
1890,-120.00
1891,-380.00
1892,-580.00
1893,-660.00
1894,-600.00
1895,-420.00
1896,-160.00
1897,120.00
1898,380.00
1899,600.00
1900,660.00
1901,640.00
1902,440.00
1903,200.00
1904,-100.00
1905,-360.00
1906,-560.00
1907,-660.00
1908,-620.00
1909,-440.00
1910,-200.00
1911,100.00
1912,380.00
1913,600.00
1914,660.00
1915,640.00
1916,460.00
1917,220.00
1918,-60.00
1919,-340.00
1920,-540.00
1921,-660.00
1922,-620.00
1923,-460.00
1924,-220.00
1925,60.00
1926,340.00
1927,560.00
1928,660.00
1929,640.00
1930,480.00
1931,240.00
1932,-40.00
1933,-320.00
1934,-520.00
1935,-640.00
1936,-620.00
1937,-480.00
1938,-240.00
1939,40.00
1940,320.00
1941,540.00
1942,660.00
1943,660.00
1944,520.00
1945,280.00
1946,0.00
1947,-300.00
1948,-520.00
1949,-640.00
1950,-640.00
